Domainname;Vendor;Laufzeit bis;Category;buying price;selling price;rental price per year
kohchang.guide ;porkbun.com;01.05.2027;Plattform / Community;;;
kohchang.fan;porkbun.com;01.05.2027;Plattform / Community;;;
kohchang.properties ;porkbun.com;01.05.2027;Real Estate / Hotel  / Resorts;;;
kohchang.villas ;porkbun.com;01.05.2027;Real Estate / Hotel  / Resorts;;;
kohchang.domains ;porkbun.com;01.05.2027;Marketing;;;
kohchang.spa;porkbun.com;01.05.2027;Wellness / Beauty / Health;;;
kohchang.bar;spaceship.com;27.04.2027;Business;;;
kohchang.bike;spaceship.com;27.04.2027;Business;;;
kohchang.blog;spaceship.com;27.04.2027;Plattform / Community;;;
kohchang.club;spaceship.com;27.04.2027;Business;;;
kohchang.date;spaceship.com;27.04.2027;Business;;;
kohchang.delivery;spaceship.com;27.04.2027;Business;;;
kohchang.events;spaceship.com;27.04.2027;Plattform / Community;;;
kohchang.fit;spaceship.com;27.04.2027;Business;;;
kohchang.fitness;spaceship.com;27.04.2027;Business;;;
kohchang.food;spaceship.com;27.04.2027;Business;;;
kohchang.fun;spaceship.com;27.04.2027;Plattform / Community;;;
kohchang.guru;spaceship.com;27.04.2027;Plattform / Community;;;
kohchang.info;spaceship.com;27.04.2027;Plattform / Community;;;
kohchang.life;spaceship.com;27.04.2027;Plattform / Community;;;
kohchang.lifestyle;spaceship.com;27.04.2027;Plattform / Community;;;
kohchang.news;spaceship.com;27.04.2027;Business;;;
kohchang.online;spaceship.com;27.04.2027;Plattform / Community;;;
kohchang.party;spaceship.com;27.04.2027;Business;;;
kohchang.pro;spaceship.com;27.04.2027;Plattform / Community;;;
kohchang.rent;spaceship.com;27.04.2027;Business;;;
kohchang.rentals;spaceship.com;27.04.2027;Business;;;
kohchang.restaurant;spaceship.com;27.04.2027;Business;;;
kohchang.review;spaceship.com;27.04.2027;Plattform / Community;;;
kohchang.services;spaceship.com;27.04.2027;Business;;;
kohchang.space;spaceship.com;27.04.2027;Business;;;
kohchang.today;spaceship.com;27.04.2027;Plattform / Community;;;
kohchang.beauty;spaceship.com;01.05.2027;Wellness / Beauty / Health;;;
kohchang.cafe;spaceship.com;01.05.2027;Business;;;
kohchang.care;spaceship.com;01.05.2027;Wellness / Beauty / Health;;;
kohchang.clinic;spaceship.com;01.05.2027;Wellness / Beauty / Health;;;
kohchang.digital;spaceship.com;01.05.2027;Plattform / Community;;;
kohchang.expert;spaceship.com;01.05.2027;Plattform / Community;;;
kohchang.fashion;spaceship.com;01.05.2027;Business;;;
kohchang.forum;spaceship.com;01.05.2027;Plattform / Community;;;
kohchang.hair;spaceship.com;01.05.2027;Wellness / Beauty / Health;;;
kohchang.health;spaceship.com;01.05.2027;Wellness / Beauty / Health;;;
kohchang.help;spaceship.com;01.05.2027;Plattform / Community;;;
kohchang.homes;spaceship.com;01.05.2027;Real Estate / Hotel  / Resorts;;;
kohchang.ink;spaceship.com;01.05.2027;Business;;;
kohchang.living;spaceship.com;01.05.2027;Plattform / Community;;;
kohchang.marketing;spaceship.com;01.05.2027;Marketing;;;
kohchang.pizza;spaceship.com;01.05.2027;Business;;;
kohchang.sale;spaceship.com;01.05.2027;Business;;;
kohchang.shop;spaceship.com;01.05.2027;Business;;;
kohchang.skin;spaceship.com;01.05.2027;Wellness / Beauty / Health;;;
kohchang.trade;spaceship.com;01.05.2027;Business;;;
kohchang.wiki;spaceship.com;01.05.2027;Plattform / Community;;;
kohchang.wine;spaceship.com;01.05.2027;Business;;;
kohchang.work;spaceship.com;01.05.2027;Plattform / Community;;;
